"學年度","學校代號","學校名稱","國別代碼","國別名稱","教授男","教授女","副教授男","副教授女","助理教授男","助理教授女","講師男","講師女"
111,0001,國立政治大學,009,印尼,0,0,0,1,1,2,0,0
111,0001,國立政治大學,013,日本,0,0,2,0,3,0,0,0
111,0001,國立政治大學,014,約旦,0,0,1,0,0,0,0,0
111,0001,國立政治大學,015,南韓,2,1,0,0,2,5,0,0
111,0001,國立政治大學,019,馬來西亞,0,0,0,0,0,1,0,0
111,0001,國立政治大學,030,泰國,0,0,0,0,2,0,0,0
111,0001,國立政治大學,031,土耳其,0,0,1,0,1,1,0,1
111,0001,國立政治大學,033,越南,0,0,0,0,0,3,0,0
111,0001,國立政治大學,073,俄羅斯,0,2,2,0,1,1,0,0
111,0001,國立政治大學,306,捷克,0,0,0,0,0,0,0,1
111,0001,國立政治大學,310,法國,0,0,0,0,0,1,0,1
111,0001,國立政治大學,321,荷蘭,0,0,0,0,0,1,0,0
111,0001,國立政治大學,323,波蘭,0,0,0,1,0,0,0,1
111,0001,國立政治大學,332,德國,0,0,1,1,0,0,0,0
111,0001,國立政治大學,403,加拿大,1,0,0,0,1,0,0,0
111,0001,國立政治大學,404,哥斯大黎加,0,0,0,0,0,0,1,0
111,0001,國立政治大學,413,墨西哥,0,0,0,0,1,0,0,0
111,0001,國立政治大學,425,美國,3,0,2,1,4,1,2,0
111,0001,國立政治大學,502,玻利維亞,0,0,0,0,1,0,0,0
111,0002,國立清華大學,008,印度,1,0,0,0,0,0,0,0
111,0002,國立清華大學,012,以色列,0,1,0,0,0,0,0,0
111,0002,國立清華大學,013,日本,4,0,0,1,1,0,0,1
111,0002,國立清華大學,015,南韓,0,0,0,0,1,0,0,0
111,0002,國立清華大學,019,馬來西亞,5,0,2,0,2,0,0,0
111,0002,國立清華大學,030,泰國,0,0,0,1,0,0,0,0
111,0002,國立清華大學,101,澳大利亞,1,0,0,0,0,0,0,0
111,0002,國立清華大學,323,波蘭,1,0,0,0,0,0,0,0
111,0002,國立清華大學,324,葡萄牙,0,0,1,0,0,0,0,0
111,0002,國立清華大學,330,英國,1,0,0,0,1,0,0,0
111,0002,國立清華大學,332,德國,1,1,1,0,1,0,0,0
111,0002,國立清華大學,403,加拿大,2,0,0,0,0,0,0,0
111,0002,國立清華大學,425,美國,3,0,1,0,2,1,0,0
111,0003,國立臺灣大學,008,印度,0,0,0,0,1,1,0,0
111,0003,國立臺灣大學,009,印尼,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,013,日本,3,0,2,0,5,0,0,1
111,0003,國立臺灣大學,015,南韓,0,0,0,2,4,2,0,0
111,0003,國立臺灣大學,019,馬來西亞,1,0,3,0,3,1,0,0
111,0003,國立臺灣大學,024,菲律賓,0,0,0,0,0,0,0,1
111,0003,國立臺灣大學,027,新加坡,1,0,1,0,0,0,0,0
111,0003,國立臺灣大學,028,斯里蘭卡,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,033,越南,0,0,0,0,1,0,0,0
111,0003,國立臺灣大學,073,俄羅斯,0,0,0,0,1,1,0,0
111,0003,國立臺灣大學,101,澳大利亞,1,0,0,0,0,0,0,0
111,0003,國立臺灣大學,241,南非,0,0,0,0,1,0,0,0
111,0003,國立臺灣大學,304,比利時,1,0,1,0,0,0,0,0
111,0003,國立臺灣大學,306,捷克,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,310,法國,0,0,1,0,1,0,0,1
111,0003,國立臺灣大學,311,希臘,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,321,荷蘭,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,327,西班牙,0,0,2,0,1,0,0,0
111,0003,國立臺灣大學,328,瑞典,1,0,0,0,0,0,0,0
111,0003,國立臺灣大學,329,瑞士,0,0,1,0,0,0,0,0
111,0003,國立臺灣大學,330,英國,1,0,1,0,1,0,0,0
111,0003,國立臺灣大學,332,德國,2,0,1,0,1,0,1,0
111,0003,國立臺灣大學,403,加拿大,2,0,0,0,3,0,0,0
111,0003,國立臺灣大學,425,美國,4,0,4,1,6,2,0,0
111,0004,國立臺灣師範大學,013,日本,0,0,1,0,2,0,0,0
